Date,Time,Status,Duration (sec)
31-07-2025,11:30:29,Drowsy,9.53
31-07-2025,11:30:42,Drowsy,12.06
31-07-2025,11:30:56,Drowsy,7.50
31-07-2025,11:31:00,Drowsy,2.78
